KepRef,AIF,CNR,TemporalRes,TrueRelKt,TrueRelVe,TrueKep,errKt,errVe,errKep,stdErrKt,stdErrVe,stdErrKep, meanResid, stdResid
1.050000,Default,5.000000,15.000000,2.500000,4.000000,0.625000,-1.718446,0.303881,3.169909,13.511994,4.980896,15.311340,0.662588,0.076176
1.075000,Default,5.000000,15.000000,2.500000,4.000000,0.625000,-2.332198,0.232216,5.039560,13.591595,4.964766,15.742625,0.663309,0.076321
1.100000,Default,5.000000,15.000000,2.500000,4.000000,0.625000,-2.939399,0.164281,6.884485,13.668661,4.949633,16.175473,0.664050,0.076473
1.150000,Default,5.000000,15.000000,2.500000,4.000000,0.625000,-4.134483,0.038571,10.501840,13.815358,4.922042,17.045210,0.665588,0.076798
1.200000,Default,5.000000,15.000000,2.500000,4.000000,0.625000,-5.304373,-0.075092,14.025256,13.952430,4.897564,17.919303,0.667192,0.077150
1.300000,Default,5.000000,15.000000,2.500000,4.000000,0.625000,-7.571195,-0.272160,20.802748,14.199100,4.856205,19.676030,0.670574,0.077934
1.400000,Default,5.000000,15.000000,2.500000,4.000000,0.625000,-9.744974,-0.436520,27.240716,14.411464,4.822801,21.437417,0.674146,0.078819
1.500000,Default,5.000000,15.000000,2.500000,4.000000,0.625000,-11.830580,-0.575113,33.361082,14.592238,4.795442,23.196419,0.677865,0.079799
0.500000,Default,5.000000,30.000000,2.500000,4.000000,0.625000,15.966804,4.983603,-44.288141,15.865201,8.703968,9.492462,0.458782,0.075381
0.600000,Default,5.000000,30.000000,2.500000,4.000000,0.625000,12.984695,3.709911,-34.141989,16.693592,8.109018,11.530148,0.460498,0.075890
0.700000,Default,5.000000,30.000000,2.500000,4.000000,0.625000,10.124039,2.843844,-24.535234,17.465556,7.738033,13.717521,0.462838,0.076558
0.800000,Default,5.000000,30.000000,2.500000,4.000000,0.625000,7.379453,2.221647,-15.433068,18.175209,7.489328,16.028374,0.465690,0.077384
0.850000,Default,5.000000,30.000000,2.500000,4.000000,0.625000,6.048941,1.973218,-11.061062,18.505886,7.394340,17.222320,0.467277,0.077857
0.900000,Default,5.000000,30.000000,2.500000,4.000000,0.625000,4.745340,1.756640,-6.803359,18.820354,7.313581,18.438024,0.468958,0.078369
0.925000,Default,5.000000,30.000000,2.500000,4.000000,0.625000,4.103411,1.658567,-4.716234,18.971521,7.277645,19.053159,0.469831,0.078640
0.950000,Default,5.000000,30.000000,2.500000,4.000000,0.625000,3.467945,1.566537,-2.656341,19.118661,7.244284,19.672696,0.470723,0.078920
0.975000,Default,5.000000,30.000000,2.500000,4.000000,0.625000,2.838857,1.480051,-0.623251,19.261790,7.213254,20.296305,0.471634,0.079211
1.000000,Default,5.000000,30.000000,2.500000,4.000000,0.625000,2.216057,1.398666,1.383455,19.400928,7.184337,20.923661,0.472562,0.079511
1.025000,Default,5.000000,30.000000,2.500000,4.000000,0.625000,1.599461,1.321981,3.364187,19.536098,7.157344,21.554447,0.473507,0.079820
1.050000,Default,5.000000,30.000000,2.500000,4.000000,0.625000,0.988982,1.249636,5.319347,19.667326,7.132103,22.188352,0.474468,0.080139
1.075000,Default,5.000000,30.000000,2.500000,4.000000,0.625000,0.384535,1.181309,7.249326,19.794638,7.108465,22.825074,0.475443,0.080468
1.100000,Default,5.000000,30.000000,2.500000,4.000000,0.625000,-0.213965,1.116705,9.154510,19.918064,7.086295,23.464313,0.476432,0.080806
1.150000,Default,5.000000,30.000000,2.500000,4.000000,0.625000,-1.393455,0.997630,12.891984,20.153380,7.045889,24.749182,0.478449,0.081509
1.200000,Default,5.000000,30.000000,2.500000,4.000000,0.625000,-2.550148,0.890561,16.534677,20.373526,7.010062,26.040693,0.480511,0.082248
1.300000,Default,5.000000,30.000000,2.500000,4.000000,0.625000,-4.797716,0.706529,23.546732,20.769377,6.949595,28.635010,0.484748,0.083831
1.400000,Default,5.000000,30.000000,2.500000,4.000000,0.625000,-6.961660,0.554994,30.211525,21.107823,6.900848,31.230834,0.489102,0.085544
1.500000,Default,5.000000,30.000000,2.500000,4.000000,0.625000,-9.046722,0.429019,36.548150,21.391148,6.861023,33.813043,0.493538,0.087376
0.500000,Default,5.000000,60.000000,2.500000,4.000000,0.625000,21.704859,6.655495,-41.949080,23.769662,13.000241,13.889558,0.317142,0.075894
0.600000,Default,5.000000,60.000000,2.500000,4.000000,0.625000,19.008800,5.387477,-31.234400,25.158145,11.995323,16.962518,0.320570,0.077238
0.700000,Default,5.000000,60.000000,2.500000,4.000000,0.625000,16.403055,4.542439,-21.019965,26.460915,11.400185,20.277651,0.324522,0.078907
0.800000,Default,5.000000,60.000000,2.500000,4.000000,0.625000,13.877296,3.946740,-11.285050,27.653600,11.011212,23.782574,0.328900,0.080909
0.850000,Default,5.000000,60.000000,2.500000,4.000000,0.625000,12.641013,3.712485,-6.592325,28.201837,10.864549,25.587976,0.331224,0.082036
0.900000,Default,5.000000,60.000000,2.500000,4.000000,0.625000,11.420598,3.510437,-2.014008,28.714715,10.740673,27.418265,0.333624,0.083245
0.925000,Default,5.000000,60.000000,2.500000,4.000000,0.625000,10.815901,3.419732,0.232628,28.957219,10.685802,28.340236,0.334850,0.083881
0.950000,Default,5.000000,60.000000,2.500000,4.000000,0.625000,10.214646,3.335129,2.451083,29.190125,10.635010,29.265428,0.336092,0.084536
0.975000,Default,5.000000,60.000000,2.500000,4.000000,0.625000,9.616659,3.256126,4.641462,29.413245,10.587898,30.192858,0.337349,0.085210
1.000000,Default,5.000000,60.000000,2.500000,4.000000,0.625000,9.021772,3.182275,6.803854,29.626434,10.544120,31.121578,0.338620,0.085904
1.025000,Default,5.000000,60.000000,2.500000,4.000000,0.625000,8.429817,3.113178,8.938334,29.829596,10.503369,32.050679,0.339904,0.086616
1.050000,Default,5.000000,60.000000,2.500000,4.000000,0.625000,7.840634,3.048476,11.044968,30.022693,10.465379,32.979313,0.341200,0.087346
1.075000,Default,5.000000,60.000000,2.500000,4.000000,0.625000,7.254068,2.987849,13.123809,30.205751,10.429911,33.906707,0.342507,0.088092
1.100000,Default,5.000000,60.000000,2.500000,4.000000,0.625000,6.669970,2.931008,15.174903,30.378866,10.396758,34.832178,0.343824,0.088855
1.150000,Default,5.000000,60.000000,2.500000,4.000000,0.625000,5.508630,2.827677,19.194010,30.696029,10.336683,36.675170,0.346485,0.090426
1.200000,Default,5.000000,60.000000,2.500000,4.000000,0.625000,4.355617,2.736710,23.102597,30.976460,10.283935,38.505189,0.349176,0.092049
1.300000,Default,5.000000,60.000000,2.500000,4.000000,0.625000,2.071496,2.586547,30.589688,31.441469,10.197238,42.124353,0.354625,0.095418
1.400000,Default,5.000000,60.000000,2.500000,4.000000,0.625000,-0.186557,2.473982,37.640503,31.806850,10.138928,45.700791,0.360123,0.098888
1.500000,Default,5.000000,60.000000,2.500000,4.000000,0.625000,-2.419951,2.373491,44.262028,32.099624,10.232877,49.249826,0.365631,0.102393
0.500000,Default,10.000000,1.000000,2.500000,4.000000,0.625000,13.968489,3.587216,-44.985072,1.447399,0.779831,0.872597,1.306007,0.038088
0.600000,Default,10.000000,1.000000,2.500000,4.000000,0.625000,10.929512,2.349652,-34.966117,1.520256,0.729326,1.057877,1.289379,0.037556
0.700000,Default,10.000000,1.000000,2.500000,4.000000,0.625000,8.017862,1.492317,-25.494979,1.587241,0.697532,1.256076,1.277455,0.037087
0.800000,Default,10.000000,1.000000,2.500000,4.000000,0.625000,5.228474,0.865580,-16.535145,1.647930,0.676105,1.464658,1.269684,0.036715
0.850000,Default,10.000000,1.000000,2.500000,4.000000,0.625000,3.878003,0.612018,-12.236206,1.675891,0.667900,1.572109,1.267192,0.036575
0.900000,Default,10.000000,1.000000,2.500000,4.000000,0.625000,2.556139,0.389041,-8.052471,1.702283,0.660917,1.681311,1.265548,0.036471
0.925000,Default,10.000000,1.000000,2.500000,4.000000,0.625000,1.905731,0.287398,-6.002579,1.714899,0.657808,1.736490,1.265026,0.036434
0.950000,Default,10.000000,1.000000,2.500000,4.000000,0.625000,1.262229,0.191592,-3.980033,1.727134,0.654920,1.792016,1.264693,0.036406
0.975000,Default,10.000000,1.000000,2.500000,4.000000,0.625000,0.625551,0.101154,-1.984366,1.738993,0.652233,1.847860,1.264544,0.036389
1.000000,Default,10.000000,1.000000,2.500000,4.000000,0.625000,-0.004382,0.015661,-0.015121,1.750481,0.649729,1.903994,1.264571,0.036383
